exportCountry,importCountry,Product,Trade
Brazil,Chile,Vegetable Products,147219.37
Colombia,Chile,Vegetable Products,152757.93
Ecuador,Chile,Vegetable Products,109617.28
Canada,Chile,"Wood, Paper and Related Products",23661.79
Mexico,Chile,"Wood, Paper and Related Products",48335.72
United States,Chile,"Wood, Paper and Related Products",258650.45
Argentina,Chile,"Wood, Paper and Related Products",181696.16
Brazil,Chile,"Wood, Paper and Related Products",149502.56
Colombia,Chile,"Wood, Paper and Related Products",36590.76
Ecuador,Chile,"Wood, Paper and Related Products",1801.83
Canada,Colombia,Animal Products,19048.49
Mexico,Colombia,Animal Products,7111.36
United States,Colombia,Animal Products,198832.59
Argentina,Colombia,Animal Products,37528.97
Brazil,Colombia,Animal Products,12819.33
Chile,Colombia,Animal Products,89798.31
Ecuador,Colombia,Animal Products,142990.16
Canada,Colombia,Beverages and Oils,14632.26
Mexico,Colombia,Beverages and Oils,13046.23
United States,Colombia,Beverages and Oils,108408.49
Argentina,Colombia,Beverages and Oils,119993.36
Brazil,Colombia,Beverages and Oils,22356.18
Chile,Colombia,Beverages and Oils,32622.77
Ecuador,Colombia,Beverages and Oils,63026.58
Canada,Colombia,Chemicals and Related Products,82190.28
Mexico,Colombia,Chemicals and Related Products,948510.07
United States,Colombia,Chemicals and Related Products,3076114.45
Argentina,Colombia,Chemicals and Related Products,102542.73
Brazil,Colombia,Chemicals and Related Products,599045.21
Chile,Colombia,Chemicals and Related Products,108091.31
Ecuador,Colombia,Chemicals and Related Products,139005.89
Canada,Colombia,"Computers, Office, Communications, and Professional Equipment",36743.31
Mexico,Colombia,"Computers, Office, Communications, and Professional Equipment",993014.88
United States,Colombia,"Computers, Office, Communications, and Professional Equipment",2705473.32
Argentina,Colombia,"Computers, Office, Communications, and Professional Equipment",7590.68
Brazil,Colombia,"Computers, Office, Communications, and Professional Equipment",77903.1
Chile,Colombia,"Computers, Office, Communications, and Professional Equipment",3678.72
Ecuador,Colombia,"Computers, Office, Communications, and Professional Equipment",23085.44
Canada,Colombia,Energy and Mining,12460.17
Mexico,Colombia,Energy and Mining,947462.25
United States,Colombia,Energy and Mining,5535005.26
Argentina,Colombia,Energy and Mining,908.53
Brazil,Colombia,Energy and Mining,29175.69
Chile,Colombia,Energy and Mining,3026.81
Ecuador,Colombia,Energy and Mining,4090.22
Canada,Colombia,Glass and Non-Metallic Products,1208.49
Mexico,Colombia,Glass and Non-Metallic Products,100178.1
United States,Colombia,Glass and Non-Metallic Products,63476.67
Argentina,Colombia,Glass and Non-Metallic Products,1731.45
Brazil,Colombia,Glass and Non-Metallic Products,53758.2
Chile,Colombia,Glass and Non-Metallic Products,4447.91
Ecuador,Colombia,Glass and Non-Metallic Products,16266.12
Canada,Colombia,Machinery and Electrical Equipment,149844.1
Mexico,Colombia,Machinery and Electrical Equipment,467294.62
United States,Colombia,Machinery and Electrical Equipment,2317397.85
Argentina,Colombia,Machinery and Electrical Equipment,69213.48
Brazil,Colombia,Machinery and Electrical Equipment,434849.38
Chile,Colombia,Machinery and Electrical Equipment,39062.6
Ecuador,Colombia,Machinery and Electrical Equipment,18606.48
Canada,Colombia,Metals and Metal Products,34682.83
Mexico,Colombia,Metals and Metal Products,508610.35
United States,Colombia,Metals and Metal Products,535059.99
Argentina,Colombia,Metals and Metal Products,28453.51
Brazil,Colombia,Metals and Metal Products,457842.13
Chile,Colombia,Metals and Metal Products,118870.26
Ecuador,Colombia,Metals and Metal Products,60933
Canada,Colombia,Miscellaneous,26169.44
Mexico,Colombia,Miscellaneous,45350.56
United States,Colombia,Miscellaneous,824459.58
Argentina,Colombia,Miscellaneous,5295.45
Brazil,Colombia,Miscellaneous,44992.03
Chile,Colombia,Miscellaneous,25156.34
Ecuador,Colombia,Miscellaneous,5609.51
Canada,Colombia,"Textiles, Leather, and Apparel",5908.05
Mexico,Colombia,"Textiles, Leather, and Apparel",95212.2
United States,Colombia,"Textiles, Leather, and Apparel",192568.82
Argentina,Colombia,"Textiles, Leather, and Apparel",9086.78
Brazil,Colombia,"Textiles, Leather, and Apparel",86392.08
Chile,Colombia,"Textiles, Leather, and Apparel",14140.65
Ecuador,Colombia,"Textiles, Leather, and Apparel",98331.2
Canada,Colombia,Transportation Equipment and Parts,116359.35
Mexico,Colombia,Transportation Equipment and Parts,1942946.84
United States,Colombia,Transportation Equipment and Parts,1503864.71
Argentina,Colombia,Transportation Equipment and Parts,303239.87
Brazil,Colombia,Transportation Equipment and Parts,368894.65
Chile,Colombia,Transportation Equipment and Parts,27655.26
Ecuador,Colombia,Transportation Equipment and Parts,264631.79
Canada,Colombia,Vegetable Products,279084.06
Mexico,Colombia,Vegetable Products,85396.28
United States,Colombia,Vegetable Products,1178183.66
Argentina,Colombia,Vegetable Products,1102290.22
Brazil,Colombia,Vegetable Products,378398.31
Chile,Colombia,Vegetable Products,213019.74
Ecuador,Colombia,Vegetable Products,119450.4
